quantity,value,note
forman_N,200000,vertices [1..N]
frac_branch_vertices_n=4mod6,1.000000,every deg>=3 vertex is n=4 mod 6
branch_vertex_density_interior,0.16667,=1/6 (finite-N boundary halves to 1/12)
ollivier_mean_kappa_core,-0.18437,core window [1..1500]
ollivier_kappa_chain_deg2-2,0.0005,~0 (halving chain, flat)
ollivier_kappa_branch_deg2-3,-0.3323,=-1/3 = -2(1-1/2-1/3) Jost-Liu tree bound
ollivier_kappa_edges_touch_n=4mod6,-0.2769,x3 branch edges
ollivier_kappa_edges_not_touch,0.0007,~0
ollivier_kappa_min,-0.33333,-1/3
ollivier_kappa_max,0.50000,the single 1-2-4 root triangle
