metric,bin_log2_lo,count,ccdf
tau,0,249999,0
tc,0,250000,0
h,0,250000,0.5
h,1,0,0.5
h,2,0,0.5
h,3,0,0.5
h,4,0,0.5
h,5,0,0.5
h,6,0,0.5
h,7,0,0.5
h,8,0,0.5
h,9,0,0.5
h,10,0,0.5
h,11,0,0.5
h,12,0,0.5
h,13,0,0.5
h,14,0,0.5
h,15,0,0.5
h,16,0,0.5
h,17,0,0.5
h,18,0,0.5
h,19,0,0.5
h,20,0,0.5
h,21,0,0.5
h,22,0,0.5
h,23,0,0.5
h,24,0,0.5
h,25,0,0.5
h,26,0,0.5
h,27,0,0.5
h,28,0,0.5
h,29,0,0.5
h,30,0,0.5
h,31,0,0.5
h,32,0,0.5
h,33,0,0.5
h,34,0,0.5
h,35,0,0.5
h,36,0,0.5
h,37,0,0.5
h,38,0,0.5
h,39,0,0.5
h,40,0,0.5
h,41,0,0.5
h,42,0,0.5
h,43,0,0.5
h,44,0,0.5
h,45,0,0.5
h,46,0,0.5
h,47,0,0.5
h,48,0,0.5
h,49,0,0.5
h,50,0,0.5
h,51,0,0.5
h,52,0,0.5
h,53,0,0.5
h,54,0,0.5
h,55,0,0.5
h,56,0,0.5
h,57,0,0.5
h,58,0,0.5
h,59,0,0.5
h,60,0,0.5
h,61,0,0.5
h,62,0,0.5
h,63,0,0.5
h,64,0,0.5
h,65,0,0.5
h,66,0,0.5
h,67,0,0.5
h,68,0,0.5
h,69,0,0.5
h,70,0,0.5
h,71,0,0.5
h,72,0,0.5
h,73,0,0.5
h,74,0,0.5
h,75,0,0.5
h,76,0,0.5
h,77,0,0.5
h,78,0,0.5
h,79,0,0.5
h,80,0,0.5
h,81,0,0.5
h,82,118928,0.262144
h,83,65536,0.131072
h,84,32768,0.065536
h,85,16384,0.032768
h,86,8192,0.016384
h,87,4096,0.008192
h,88,2048,0.004096
h,89,1024,0.002048
h,90,512,0.001024
h,91,256,0.000512
h,92,128,0.000256
h,93,64,0.000128
h,94,32,6.4e-05
h,95,16,3.2e-05
h,96,8,1.6e-05
h,97,4,8e-06
h,98,2,4e-06
h,99,1,2e-06
h,100,1,0
